Id;Timestamp;Date;Time;Value
1;1690755893624;30/07/2023;22:24:53;294,396484
1;1690748693588;30/07/2023;20:24:53;294,158203
1;1690741493520;30/07/2023;18:24:53;293,23291
1;1690734293452;30/07/2023;16:24:53;293,208008
1;1690727093408;30/07/2023;14:24:53;293,298828
1;1690719892198;30/07/2023;12:24:52;293,313477
1;1690712692755;30/07/2023;10:24:52;293,245605
1;1690705493254;30/07/2023;08:24:53;294,092285
1;1690698294903;30/07/2023;06:24:54;294,09082
1;1690691093161;30/07/2023;04:24:53;294,934082
1;1690683892525;30/07/2023;02:24:52;294,466797
1;1690676692477;30/07/2023;00:24:52;294,331543
